terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
Multi-Asset Class,"A multi-asset class, also known as a multiple-asset class or multi-asset fund, is a combination of asset classes (such as cash, equity or bonds) used as an investment. A multi-asset class investment contains more than one asset class, thus creating a group or portfolio of assets. The weights and types of classes vary according to the individual investor.",investopedia,1,43.43,12.0,14.6,11.31,12.5,10.04,14,13.6666666666667,13.24,11th and 12th grade,85.2,82.24,40.6,3.8,52.9655172413793,52.76
Legend,Reference area on a map.,6_8_louis,1,83.32,2.9,0.0,0.32,-0.2,10.2,1,2.5,10.0,2nd and 3rd grade,117.8,114.62,56.59,-0.7,109.0,108.66
Federal Housing Administration (FHA),"The Federal Housing Administration (FHA) is a U.S. agency offering mortgage insurance to FHA-approved lenders that meet specific qualifications. Mortgage insurance protects lenders against losses from mortgage defaults. If a borrower defaults on a loan, the FHA pays the lender a specified claim amount.",investopedia,1,48.09,10.2,13.0,15.48,13.9,12.26,15,10.3333333333333,13.15,12th and 13th grade,89.9,85.98,34.29,3.5,49.9090909090909,34.22
illiquidity cost,Costs due to imperfect liquidity of some security.,zvi,0,29.52,11.1,0.0,10.8,7.9,11.93,3,6.0,18.2,10th and 11th grade,78.7,74.24,41.48,3.8,72.75,62.7
Business Activities,"Business activities include any activity a business engages in for the primary purpose of making a profit. This is a general term that encompasses all the economic activities carried out by a company during the course of business. Business activities, including operating, investing and financing activities, are ongoing and focused on creating value for shareholders.",investopedia,1,19.06,15.1,16.7,15.2,14.6,9.71,18,14.8333333333333,16.05,14th and 15th grade,68.2,65.03,34.46,5.2,48.2727272727273,34.46
Non-Disclosure Agreement (NDA),A non-disclosure agreement is a legally binding contract that establishes a confidential relationship. The party or parties signing the agreement agree that sensitive information they may obtain will not be made available to any others. An NDA may also be referred to as a confidentiality agreement.,investopedia,1,39.03,11.6,11.9,13.62,12.2,10.92,17,9.0,12.21,11th and 12th grade,83.2,81.8,37.12,3.9,53.3478260869565,44.35
Aggregate Supply,"Aggregate supply, also known as total output, is the total supply of goods and services produced within an economy at a given overall price in a given period. It is represented by the aggregate supply curve, which describes the relationship between price levels and the quantity of output that firms are willing to provide. Typically, there is a positive relationship between aggregate supply and the price level.",investopedia,1,40.38,13.2,14.1,12.42,14.1,9.22,18,14.8333333333333,13.7,13th and 14th grade,82.1,77.57,38.16,4.1,50.6417910447761,46.39
INDIRECT STAKEHOLDERS,"In GOVERNANCE, the parties impacted by a company’s activities and actions in a less obvious, immediate, or direct manner than DIRECT STAKEHOLDERS; this group generally includes REGULATORS, taxpayers, and competitors.",palgrave,0,-1.28,20.9,0.0,18.11,22.9,13.02,15,26.0,26.67,20th and 21st grade,50.2,48.08,26.5,6.0,36.6666666666667,12.36
Free Cash Flow (FCF),"Free cash flow (FCF) represents the cash a company generates after accounting for cash outflows to support operations and maintain its capital assets. Unlike earnings or net income, free cash flow is a measure of profitability that excludes the non-cash expenses of the income statement and includes spending on equipment and assets as well as changes in working capital from the balance sheet.",investopedia,1,39.5,15.6,0.0,13.41,19.2,10.71,19,20.25,16.41,15th and 16th grade,78.7,75.46,33.83,3.8,45.6666666666667,32.56
Market Segment,"A market segment is a group of people who share one or more common characteristics, lumped together for marketing purposes. Each market segment is unique, and marketers use various criteria to create a target market for their product or service. Marketing professionals approach each segment differently, after fully understanding the needs, lifestyles, demographics, and personality of the target consumer.",investopedia,1,26.1,14.5,14.6,16.13,16.3,10.5,19,13.8333333333333,14.66,14th and 15th grade,72.8,71.02,32.42,4.7,45.1016949152542,29.6
Point-of-sale (POS) terminal,An electronic device for the acceptance of payment cards; POS refers to the area or location where customers can pay for their purchases.,9_12_louis,1,56.59,11.1,0.0,11.49,13.6,11.64,6,15.5,16.16,11th and 12th grade,93.4,91.74,39.49,2.9,52.0434782608696,51.28
Loan Shark,"A loan shark is a person who – or an entity that – loans money at extremely high interest rates and often uses threats of violence to collect debts. The interest rates are generally well above an established legal rate, and often loan sharks are members of organized crime groups.",investopedia,1,54.56,11.9,0.0,9.46,12.8,10.88,11,16.5,15.6,11th and 12th grade,91.4,88.39,42.22,3.1,54.8,59.35
BREAK FORWARD,A FORWARD CONTRACT with a feature giving one party the ability to cancel the transaction at a future time in order to com- plete the underlying deal in the SPOT MARKET; if the party chooses to break the contract it pays the other party a cancellation fee. Also known as BOSTON OPTION.,palgrave,0,53.55,12.3,0.0,8.54,12.7,9.48,11,15.0,13.48,12th and 13th grade,90.3,86.19,43.38,3.2,55.7307692307692,60.94
Peter Principle,"The Peter Principle is an observation that the tendency in most organizational hierarchies, such as that of a corporation, is for every employee to rise in the hierarchy through promotion until they reach a level of respective incompetence. In other words, a front-office secretary who is quite good at her job may thus be promoted to executive assistant to the CEO for which she is not trained or prepared for—meaning that she would be more productive for the company (and likely herself) if she had not been promoted.",investopedia,1,26.82,20.5,0.0,11.56,23.7,9.95,19,31.0,24.87,20th and 21st grade,66.0,61.6,33.06,4.1,46.7272727272727,32.48
Superannuation,"A superannuation is an organizational pension program created by a company for the benefit of its employees. It is also referred to as a company pension plan. Funds deposited in a superannuation account will grow, typically without any tax implications, until retirement or withdrawal.",investopedia,1,22.71,13.7,15.0,13.39,11.8,9.39,13,11.6666666666667,14.97,14th and 15th grade,71.9,66.15,37.82,5.1,54.4545454545455,46.31
GLOBAL MEDIUM-TERM NOTE,"A MEDIUM-TERM NOTE (MTN) that is issued simultaneously in a domestic market and the EUROMARKETS, typically through a registered filing that allows for issuance at will. As with a standard MTN, a global issue can be denominated in one of several CURRENCIES and carry fixed or floating COUPONS with MATURITIES extending from 1 to 30 years.",palgrave,0,34.6,15.4,0.0,11.49,16.3,11.79,18,19.0,17.63,11th and 12th grade,76.3,73.15,37.77,4.2,49.3571428571429,44.13
Installment credit,"A loan given in a lump sum for a specific purchase or investment. The loan is paid back with regularly scheduled payments, which include interest. Examples include home loans, car loans, or business loans.",6_8_louis,1,68.47,6.5,10.5,9.84,8.1,8.84,9,6.33333333333333,10.4,8th and 9th grade,105.3,100.22,43.87,2.3,64.8823529411765,64.83
VIX Index,Index of the volatility of the S&P 500.,opod,0,80.28,4.1,0.0,2.1,1.4,13.9,2,4.0,8.2,3rd and 4th grade,114.7,113.17,56.03,0.8,86.5,101.99
SURETY,(1) A GUARANTEE of CONTRACT fulfillment. (2) The party respon- sible for performing under a  BOND should the original contract party DEFAULT on its obligations.PERFORMANCE BOND.,palgrave,0,28.17,15.8,0.0,14.92,18.9,12.82,9,18.0,19.63,12th and 13th grade,72.3,68.22,32.75,4.7,42.4615384615385,29.32
REGISTERED OFFICE,The official address of a REGISTERED COMPANY.,palgrave,0,30.53,10.7,0.0,11.55,8.3,8.5,2,5.5,14.23,11th and 12th grade,79.7,75.24,40.09,3.5,76.1428571428571,55.51
ICE,See INTERCONTINENTAL EXCHANGE.,palgrave,0,-50.02,21.0,0.0,26.63,24.0,9.05,1,1.5,14.53,20th and 21st grade,23.8,16.94,6.85,4.5,95.6666666666667,-19.89
GROSS INTEREST,"INTEREST paid or received, excluding the impact ofTAXES.",palgrave,0,29.52,11.1,0.0,14.46,11.4,13.9,5,6.0,18.2,13th and 14th grade,78.7,74.24,35.41,3.8,65.25,41.54
Export Duties,Export Duties,ncert_keec111,1,35.61,8.8,0.0,4.2,7.8,19.53,2,0.0,0.8,-1th and 0th grade,84.8,80.24,36.3,-4.0,179.0,53.67
MARKET OUT CLAUSE,See MATERIAL ADVERSE CHANGE CLAUSE.,palgrave,0,49.48,7.6,0.0,13.08,10.3,13.36,2,2.5,10.0,9th and 10th grade,93.8,89.7,35.25,1.3,87.0,40.96
Tail Loss,See Conditional Value at Risk.,opod,0,49.48,7.6,0.0,7.28,5.6,10.2,1,2.5,10.0,7th and 8th grade,93.8,89.7,44.95,1.3,97.0,79.65
Order,"An order consists of instructions to a broker or brokerage firm to purchase or sell a security on an investor's behalf. An order is the fundamental trading unit of a securities market. Orders are typically placed over the phone or online through a trading platform, although orders may increasingly be placed through automated trading systems and algorithms. Once an order is placed, it follows a process of order execution.",investopedia,1,45.46,11.2,12.2,11.77,11.5,10.22,21,11.125,12.72,11th and 12th grade,87.2,84.85,40.1,3.6,54.7971014492754,50.11
Gross Margin Return on Investment (GMROI),The gross margin return on investment (GMROI) is an inventory profitability evaluation ratio that analyzes a firm's ability to turn inventory into cash above the cost of the inventory. It is calculated by dividing the gross margin by the average inventory cost and is used often in the retail industry. GMROI is also known as the gross margin return on inventory investment (GMROII).,investopedia,1,33.24,13.8,15.9,11.55,13.1,8.94,15,15.5,14.75,15th and 16th grade,77.4,73.1,39.66,4.5,52.3333333333333,49.74
Mobile Banking,"Mobile banking is the act of making financial transactions on a mobile device (cell phone, tablet, etc.). This activity can be as simple as a bank sending fraud or usage activity to a client’s cell phone or as complex as a client paying bills or sending money abroad. Advantages to mobile banking include the ability to bank anywhere and at any time. Disadvantages include security concerns and a limited range of capabilities when compared to banking in person or on a computer.",investopedia,1,50.67,11.3,12.6,10.21,11.7,9.85,21,13.0,13.08,12th and 13th grade,89.9,86.05,42.01,3.5,55.0975609756098,55.24
Dutch Auction,"A Dutch auction is a market structure in which the price of something offered is determined after taking in all bids to arrive at the highest price at which the total offering can be sold. In this type of auction, investors place a bid for the amount they are willing to buy in terms of quantity and price.",investopedia,1,67.42,11.1,0.0,7.9,13.3,8.61,9,16.0,13.67,7th and 8th grade,99.3,95.13,43.91,2.4,56.4137931034483,63.38
"Value, paradox of",Refer to  paradox of value.,sam,1,49.48,7.6,0.0,2.64,1.8,10.2,2,1.5,2.0,1st and 2nd grade,93.8,89.7,52.71,1.3,105.0,98.99
INVISIBLE ASSET,See INTANGIBLE ASSET.,palgrave,0,9.21,12.7,0.0,9.23,9.9,14.31,2,1.5,14.53,12th and 13th grade,65.8,58.47,35.95,1.2,125.666666666667,60.72
RATIO ANALYSIS,"A financial analysis technique used by INVESTMENT ANALYSIS and CREDIT ANALYSTS that uses ACCOUNTING information from a company’s FINANCIAL STATEMENTS to compute relative and abso- lute strength/weakness in key areas such as profitability, activity, liquidity, LEVERAGE, and SOLVENCY.",palgrave,0,-9.4,24.0,0.0,19.79,28.0,14.66,20,34.0,27.83,27th and 28th grade,42.1,37.68,20.89,6.4,32.1578947368421,-2.6
BACK-TO-BACK SWAP,"A SWAP that acts as a mirror image of an existing swap on the books of an institution, serving to neutralize the MARKET RISKS. Such a swap does not, however, eliminate COUNTERPARTY CONTINGENT CREDIT RISK. See also UNWIND.",palgrave,0,58.58,8.2,11.9,8.98,7.7,10.08,10,7.66666666666667,11.4,7th and 8th grade,97.9,94.16,45.33,2.8,64.2631578947369,68.3
SEDOL,See STOCK EXCHANGE DAILY OFFICIAL LIST.,palgrave,0,56.93,6.8,0.0,11.07,8.3,6.57,1,3.0,9.07,6th and 7th grade,98.7,97.0,39.75,1.3,82.3333333333333,61.71
Regulated Investment Company (RIC) Pass Taxes on to Investors,"A regulated investment company (RIC) can be any one of several investment entities. For example, it may take the form of a mutual fund or exchange-traded fund (ETF), a real estate investment trust (REIT), or a unit investment trust (UIT). Whichever form the RIC assumes, the structure must be deemed eligible by the Internal Revenue Service (IRS) to pass through taxes for capital gains, dividends, or interest earned to the individual investors.",investopedia,1,38.66,13.8,16.7,11.61,15.1,10.97,19,17.6666666666667,15.16,11th and 12th grade,80.4,78.14,38.97,4.0,49.4166666666667,45.11
DUAL LISTED COMPANY ARBITRAGE,"An ARBITRAGE strategy that seeks to exploit discrepancies between the SHARE prices of the constituent compan- ies. An INVESTOR seeks to profit by purchasing the STOCK of the underval- ued company and arranging a SHORT SALE of the overvalued company, with an expectation that the two will converge to a theoretical PARITY value over time.",palgrave,0,35.1,15.2,0.0,12.31,16.6,10.74,16,19.75,18.27,11th and 12th grade,76.8,76.26,36.55,4.0,48.4545454545455,41.86
Quid Pro Quo,"Quid pro quo is Latin term for ""something for something"" that originated in the middle ages in Europe. It describes a situation when two parties engage in a mutual agreement to exchange goods or services reciprocally. In a quid pro quo agreement, one transfer is thus contingent upon some transfer from the other party.",investopedia,1,53.21,10.3,10.5,10.32,10.8,9.79,12,10.6666666666667,10.9,10th and 11th grade,92.5,91.92,42.2,3.1,56.4074074074074,58.03
Wall of Worry,"Wall of worry is the financial markets' periodic tendency to surmount a host of negative factors and keep ascending. Wall of worry is generally used in connection with the stock markets, referring to their resilience when running into a temporary stumbling block, rather than a permanent impediment to a market advance.",investopedia,1,37.13,14.4,0.0,13.06,16.1,10.47,18,18.25,18.83,18th and 19th grade,78.8,73.84,36.06,4.2,48.0196078431373,40.25
Securities and Exchange Commission (SEC),"The U.S. Securities and Exchange Commission (SEC) is an independent federal government regulatory agency responsible for protecting investors, maintaining fair and orderly functioning of the securities markets, and facilitating capital formation. It was created by Congress in 1934 as the first federal regulator of the securities markets. The SEC promotes full public disclosure, protects investors against fraudulent and manipulative practices in the market, and monitors corporate takeover actions in the United States. It also approves registration statements for bookrunners among underwriting firms.﻿﻿",investopedia,1,16.83,16.0,17.7,19.2,19.2,11.97,32,16.75,18.44,17th and 18th grade,65.9,59.46,26.99,5.6,39.2439024390244,14.55
Networking,"Networking is the exchange of information and ideas among people with a common profession or special interest, usually in an informal social setting. Networking often begins with a single point of common ground.",investopedia,1,37.81,12.1,0.0,13.34,12.3,9.72,10,11.75,13.87,11th and 12th grade,82.0,80.84,37.69,4.0,52.9393939393939,44.09
rebalancing,Realigning the proportions of assets in a  portfolio as needed.,zvi,0,35.95,10.7,0.0,11.4,8.5,12.03,5,7.0,16.0,10th and 11th grade,82.6,78.47,41.26,3.9,66.0,57.65
Overcollateralization (OC),Over-collateralization (OC) is the provision of collateral that is worth more than enough to cover potential losses in cases of default.,investopedia,1,33.24,13.8,0.0,13.63,15.1,10.69,7,14.5,16.02,13th and 14th grade,77.4,73.1,36.12,4.5,48.047619047619,41.3
FOREIGN EXCHANGE (FX),"A transaction that involves the exchange of two CURRENCIES. TRADING in foreign exchange is extremely active, with institu- tions regularly using SPOT and DERIVATIVE contracts to HEDGE, ARBITRAGE, or SPECULATE. See also  RATE.",palgrave,0,43.39,9.9,12.5,14.07,11.5,11.84,14,7.16666666666667,14.1,11th and 12th grade,87.6,80.67,36.97,3.8,58.0909090909091,43.81
Net Investment Income (NII),"Net investment income (NII) is income received from investment assets (before taxes) such as bonds, stocks, mutual funds, loans, and other investments (less related expenses). The individual tax rate on net investment income depends on whether it is interest income, dividend income, or capital gains.",investopedia,1,31.72,14.4,0.0,14.34,16.7,11.42,12,16.75,16.11,16th and 17th grade,75.9,73.58,34.95,4.4,45.2222222222222,33.4
Labour Laws,Labour Laws,ncert_keec111,1,120.21,-3.1,0.0,-1.61,3.1,19.53,0,0.0,0.8,-1th and 0th grade,144.8,142.54,46.0,-8.9,189.0,89.95
Five Cs of Credit,"The five Cs of credit is a system used by lenders to gauge the creditworthiness of potential borrowers. The system weighs five characteristics of the borrower and conditions of the loan, attempting to estimate the chance of default and, consequently, the risk of a financial loss for the lender.",investopedia,1,46.61,12.8,0.0,11.9,14.7,10.97,13,17.25,17.96,10th and 11th grade,85.9,84.44,38.32,3.5,50.4285714285714,48.6
After-Tax Contribution,"An after-tax contribution is money paid into a retirement or investment account after income taxes on those earnings have already been deducted. When opening a tax-advantaged retirement account, an individual may choose to defer the income taxes owed until after retiring, if it is a so-called traditional retirement account, or pay the income taxes in the year in which the payment is made, if it is a Roth retirement account.",investopedia,1,27.49,18.1,0.0,12.25,20.1,8.76,12,23.5,18.57,18th and 19th grade,69.1,65.04,34.59,4.4,46.4285714285714,35.72
market fundamentals,Items that have a direct effect on future income streams of the security.,fmi,0,66.74,7.2,0.0,8.63,7.2,10.35,3,6.5,8.28,6th and 7th grade,103.6,97.99,45.88,2.6,65.1538461538462,68.55
early-stage investing,Investment by a venture capital firm in a company that is in the very beginning stage of its development.,fmi,0,52.19,10.7,0.0,8.99,9.6,7.9,3,14.5,11.81,9th and 10th grade,91.5,86.19,44.64,3.5,59.0,66.96
Ethical Investing,"Ethical investing refers to the practice of using one's ethical principles as the primary filter for the selection of securities investing. Ethical investing depends on the investor's views. Ethical investing is sometimes used interchangeably with socially conscious investing; however, socially conscious funds typically have one overarching set of guidelines that are used to select the portfolio, whereas ethical investing brings about a more personalized result.",investopedia,1,4.65,20.7,0.0,18.58,24.0,11.56,21,18.5,20.38,18th and 19th grade,53.7,52.61,24.88,5.5,36.2307692307692,7.46
latency,"The time it takes to accept, process, and deliver a trading order.",zvi,0,76.22,5.6,0.0,6.95,6.1,9.5,2,6.0,8.13,5th and 6th grade,110.6,106.58,48.97,1.8,68.1666666666667,79.8
Uninsurable Peril,"Uninsurable peril are events for which insurance coverage is not available or for which insurers are unlikely to underwrite policies. An uninsurable peril is typically an event that has a high risk of occurrence, meaning the probability of a payout is high and expected. Perils that insurers are unwilling to cover are often catastrophic in nature.",investopedia,1,35.57,12.9,15.5,12.65,12.5,10.49,18,14.0,15.34,12th and 13th grade,79.8,79.14,38.61,4.1,52.75,48.85
private equity,"equity that is not publicly traded and that is used to finance business start-ups, leveraged buyouts, etc.",prin,0,62.68,8.7,0.0,11.77,12.0,11.91,6,8.5,9.15,8th and 9th grade,99.5,94.55,40.18,2.9,53.7058823529412,51.25
perpetuity,investment offering a level stream of cash flows in  (cf. consol).,prin,0,60.31,7.6,0.0,8.45,7.6,11.36,3,6.5,11.67,7th and 8th grade,99.6,93.89,46.38,2.7,66.2727272727273,68.72
Systematic Risk,Risk that cannot be diversified away.,opod,0,56.93,6.8,0.0,9.15,6.7,9.2,1,3.0,9.07,6th and 7th grade,98.7,97.0,42.98,1.3,85.6666666666667,69.77
"Hong Kong SAR, China","Hong Kong is the premier financial and business center in China and a regional financial leader. Hong Kong is one of China's special administrative regions (SARs). An SAR is a relatively autonomous regions within the People's Republic of China that maintain separate legal, administrative, and judicial systems from the rest of the country.",investopedia,1,36.59,12.6,13.6,12.93,13.0,10.47,16,12.1666666666667,12.36,12th and 13th grade,80.8,77.5,37.95,4.2,51.6415094339623,44.16
Debt (elementary),The money a person owes when they borrow.,pre_louis,1,80.28,4.1,0.0,4.31,2.6,6.01,0,3.0,3.2,2nd and 3rd grade,114.7,113.17,52.39,0.8,84.0,92.92
John F. Nash Jr.,"John F. Nash, Jr., was an American mathematician who won the 1994 Nobel Prize in Economics, along with John Harsanyi and Reinhard Selten, for his development of the mathematical foundations of game theory. Nash was also a pioneer in the study of differential geometry and partial differential equations. He also developed an equilibrium theory known as the Nash Equilibrium (of which the prisoner's dilemma is a well-known example).",investopedia,1,31.51,14.5,16.7,13.06,15.2,10.57,19,17.0,16.73,16th and 17th grade,75.7,73.31,37.05,4.4,48.5588235294118,43.37
Ordinary Loss,An ordinary loss is loss realized by a taxpayer when expenses exceed revenues in normal business operations. Ordinary losses are those losses incurred by a taxpayer which are not capital losses. An ordinary loss is fully deductible to offset income thereby reducing the tax owed by a taxpayer.,investopedia,1,46.78,10.7,14.1,12.18,11.0,9.36,14,11.6666666666667,11.4,10th and 11th grade,88.5,84.41,39.89,3.7,55.875,51.56
Limit Down,The limit down price is the maximum allowable decline in the price of a stock or commodity in a single trading day. The limits were introduced to forestall unusual market volatility and counteract the panic selling that tends to compound an initial price decline.,investopedia,1,49.15,11.9,0.0,11.43,13.1,10.83,16,14.5,15.16,10th and 11th grade,88.4,84.31,39.44,3.6,52.6363636363636,50.41
RING TRADING,"A TRADING mechanism used on EXCHANGES that still feature physical, rather than electronic, trading, where BROKERS, DEALERS, and/or MARKET MAKERS assemble at appointed times in a “ring” to make a market in a particular ASSET. Also known as CALLOVER. See also OPEN OUTCRY.",palgrave,0,56.96,8.9,11.2,11.65,10.7,10.22,14,8.16666666666667,11.3,10th and 11th grade,96.3,91.08,40.78,3.1,56.906976744186,52.97
LBO,See LEVERAGED BUY-OUT.,economist,1,59.97,5.6,0.0,9.23,11.5,9.05,1,0.5,1.2,9th and 10th grade,101.8,100.0,35.95,-2.2,122.333333333333,44.6
Veterans Group Life Insurance (VGLI),"Veterans group life insurance pays cash to the beneficiaries of a deceased member of the armed forces who had completed their service. Veterans Group Life Insurance (VGLI) is for service members who have completed their service and wish to continue to have life insurance coverage carried over from their Servicemembers' Group Life Insurance (SGLI) policy. They have one year and 120 days from the date they become veterans to exercise this option, and VGLI is a renewable term policy.",investopedia,1,44.78,13.5,16.7,12.25,16.0,9.14,14,18.8333333333333,15.58,15th and 16th grade,84.0,81.93,37.11,3.6,48.873417721519,43.06
Trade Finance,Trade finance represents the financial instruments and products that are used by companies to facilitate international trade and commerce. Trade finance makes it possible and easier for importers and exporters to transact business through trade. Trade finance is an umbrella term meaning it covers many financial products that banks and companies utilize to make trade transactions feasible.,investopedia,1,34.09,15.6,0.0,17.0,20.7,10.59,18,13.8333333333333,17.72,15th and 16th grade,75.8,71.22,28.39,4.3,40.4035087719298,20.41
Short Run,"The short run is a concept that states that, within a certain period in the future, at least one input is fixed while others are variable. In economics, it expresses the idea that an economy behaves differently depending on the length of time it has to react to certain stimuli. The short run does not refer to a specific duration of time but rather is unique to the firm, industry or economic variable being studied.",investopedia,1,54.56,11.9,13.6,9.06,12.7,9.93,21,15.8333333333333,15.33,9th and 10th grade,91.4,90.46,42.86,3.0,55.1333333333333,59.67
CHECK,A form that authorizes a BANK or other FINANCIAL INSTITUTION to pay a specified sum to the named PAYEE from the DRAWER’s account. A check may carry an ENDORSEMENT which permits different degrees of trans- fer among third parties. Also known as CHEQUE.,palgrave,0,65.42,7.7,11.2,9.79,8.6,9.49,10,8.16666666666667,10.37,8th and 9th grade,102.3,98.33,43.94,2.6,61.3255813953488,64.78
EMBARGO,"Prohibition on TRADE with another country either generally (all goods and services) or specifically (targeted goods and services). An embargo, which is one manifestation of SOVEREIGN RISK, may arise as a result of trade disputes, political constraints, REGULATIONS, or national security issues.",palgrave,0,16.32,16.2,0.0,16.13,17.4,11.07,16,16.5,18.88,16th and 17th grade,65.4,64.2,31.96,5.2,43.047619047619,27.48
Load Fund,"A load fund is a mutual fund that comes with a sales charge or commission. The fund investor pays the load, which goes to compensate a sales intermediary, such as a broker, financial planner or investment advisor, for his time and expertise in selecting an appropriate fund for the investor. The load is either paid up front at the time of purchase (front-end load), when the shares are sold (back-end load), or as long as the fund is held by the investor (level-load).",investopedia,1,60.28,11.7,14.1,8.83,14.4,8.62,14,17.5,15.9,8th and 9th grade,94.6,91.35,42.39,2.8,53.2168674698795,56.76
Unappropriated Retained Earnings,"Unappropriated retained earnings consist of any portion of a company's retained earnings that are not classified as appropriated retained earnings. Appropriated retained earnings are set aside by the board and are assigned to a specific purpose, such as factory construction, hiring new labor, buying new equipment, or marketing. They will not be distributed to shareholders as dividend payments. Unappropriated retained earnings can be passed on to shareholders in the form of dividend payments.",investopedia,1,35.98,12.8,14.2,15.66,15.1,9.3,21,12.875,12.8,12th and 13th grade,80.2,75.08,33.67,4.4,47.3561643835617,33.54
INTEREST RATE POLICY,A policy used by certain CENTRAL BANKS or mon- etary authorities that attempts to influence MONEY SUPPLY within a national system by setting the level of INTEREST RATES. This approach implies that properly calibrating rates and the money supply will lead to the proper balance of economic output and INFLATION. See also INFLATION TARGET.,palgrave,0,44.75,11.5,13.6,12.53,12.3,11.25,19,12.3333333333333,13.87,11th and 12th grade,86.5,80.39,38.6,4.0,53.0740740740741,46.84
Certified Public Accountant (CPA),"A certified public accountant (CPA) is a designation given by the American Institute of Certified Public Accountants (AICPA) to individuals that pass the Uniform CPA Examination and meet the education and experience requirements. The CPA designation helps enforce professional standards in the accounting industry. Other countries have certifications equivalent to the CPA designation, notably, the chartered accountant (CA) designation.",investopedia,1,9.18,16.9,18.2,18.91,18.6,11.04,21,16.8333333333333,18.05,18th and 19th grade,60.8,55.18,27.81,5.9,40.0169491525424,16.48
European Banking Authority (EBA),"The European Banking Authority (EBA) is a regulatory body that strives to maintain financial stability throughout the European Union’s (EU) banking industry. It was established in 2010 by the European Parliament, replacing the Committee of European Banking Supervisors (CEBS).",investopedia,1,17.84,15.6,0.0,16.94,17.2,12.7,14,16.75,19.08,16th and 17th grade,67.0,64.33,31.17,5.2,43.1025641025641,23.51
REVERSE MERGER,See REVERSE TAKEOVER.,palgrave,0,93.81,0.9,0.0,9.23,9.9,14.31,1,0.5,1.2,0th and 1st grade,125.8,120.77,35.95,-3.8,125.666666666667,52.66
ACCOUNTING VALUE,"An approach to FINANCIAL ANALYSIS that values a company’s COMMON STOCK as a function of EARNINGS PER SHARE and the PRICE/EARNINGS multiple. The higher either variable, the more valuable the stock, and thus the company. See also ENTERPRISE VALUE.",palgrave,0,58.28,8.4,11.2,11.7,10.1,9.95,12,7.5,10.33,9th and 10th grade,97.6,93.2,40.66,2.9,59.0,53.67
W-8 Form,"W-8 forms are Internal Revenue Service (IRS) forms that foreign individuals and businesses must file to verify their country of residence for tax purposes, certifying that they qualify for a lower rate of tax withholding. Although the W-8 forms are issued by the IRS, they are submitted only to payers or withholding agents, not to the IRS. Failure to submit the form may result in a withholding at the full 30% rate that applies to foreign entities.",investopedia,1,45.39,13.3,15.0,10.33,14.3,10.45,21,17.1666666666667,15.99,10th and 11th grade,84.6,84.08,40.49,3.4,52.1168831168831,51.64
Tenkan-Sen (Conversion Line),"Tenkan-Sen, or Conversion Line, is the mid-point of the highest and lowest prices of an asset over the last nine periods. The Tenkan-Sen is part of a larger indicator called the Ichimoku Kinko Hyo, which shows potential support and resistance areas based on different timeframes. Ichimoku Kinko Hyo roughly means ""one look equilibrium chart,"" and is commonly called the Ichimoku Cloud indicator.",investopedia,1,58.92,10.2,13.0,12.82,14.3,11.03,15,13.3333333333333,12.8,12th and 13th grade,95.7,93.72,37.59,2.9,49.6451612903226,43.7
Dividends Received Deduction (DRD),"The dividends received deduction (DRD) is a federal tax deduction in the United States that is given to certain corporations that get dividends from related entities. The amount of the dividend that a company can deduct from its income tax is tied to how much ownership the company has in the dividend-paying company. However, there are criteria that corporations must meet in order to qualify for the dividends received deduction (DRD).",investopedia,1,38.96,13.7,17.9,12.25,14.8,8.15,12,18.5,15.11,14th and 15th grade,80.7,76.12,38.01,4.1,49.9859154929577,44.28
Golden Handcuffs,Golden handcuffs are a collection of financial incentives that are intended to encourage employees to remain with a company for a stipulated period of time. Golden handcuffs are offered by employers to existing key employees as a means of holding onto them as well as to increase employee retention rates. Golden handcuffs are common in industries where highly-compensated employees are likely to move from one company to another.,investopedia,1,31.51,14.5,17.5,13.64,15.1,9.87,21,17.6666666666667,17.32,17th and 18th grade,75.7,72.39,36.06,4.5,48.8529411764706,39.45
Due Diligence,"Due diligence is an investigation, audit, or review performed to confirm facts or details of a matter under consideration. In the financial world, due diligence requires an examination of financial records before entering into a proposed transaction with another party.",investopedia,1,25.8,14.6,0.0,15.37,15.7,10.55,13,14.0,14.0,13th and 14th grade,72.4,68.47,33.64,4.9,46.5,34.2
EEA,See EUROPEAN ECONOMIC AREA.,palgrave,0,33.58,9.6,0.0,10.15,8.8,15.68,2,3.0,21.6,9th and 10th grade,82.8,78.24,38.03,1.3,104.0,57.69
unit investment trust,Money invested in a portfolio whose composition is fixed for the life of the fund.,zvi,0,64.71,8.0,0.0,8.05,7.4,9.64,3,10.5,14.0,7th and 8th grade,101.6,96.31,46.62,2.7,63.6666666666667,75.95
