terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
Loss Adjustment Expense (LAE),A loss adjustment expense (LAE) is an expense associated with investigating and settling an insurance claim.,investopedia,1,29.86,13.1,0.0,15.08,13.9,12.33,12.0,16.4
Decreasing Term Insurance,"Decreasing term insurance is renewable term life insurance with coverage decreasing over the life of the policy at a predetermined rate. Premiums are usually constant throughout the contract, and reductions in coverage typically occur monthly or annually. Terms range between 1 year and 30 years but it depends on the insurance company and the plan they offer.",investopedia,1,43.73,11.9,16.3,13.46,13.4,10.67,14.8333333333333,15.32
Learning Curve,"A learning curve is a concept that graphically depicts the relationship between the cost and output over a defined period of time, normally to represent the repetitive task of an employee or worker. The learning curve was first described by psychologist Hermann Ebbinghaus in 1885 and is used as a way to measure production efficiency and to forecast costs.",investopedia,1,41.53,14.8,0.0,12.43,17.2,10.72,19.75,18.58
Ombudsman,"An ombudsman is an official, usually appointed by the government, who investigates complaints (usually lodged by private citizens) against businesses, financial institutions, universities, government departments, or other public entities, and attempts to resolve the conflicts or concerns raised, either by mediation or by making recommendations.",investopedia,1,-16.51,26.7,0.0,21.13,32.7,13.59,39.5,30.44
Unbundled Life Insurance Policy,An unbundled life insurance policy is a type of financial protection plan that provides cash to beneficiaries upon a policyholder's death. An unbundled life insurance policy contains a savings and investment component that the policyholder can use during his or her lifetime.,investopedia,1,24.78,15.0,0.0,14.62,15.3,9.94,17.0,17.92
Spot price,"The PRICE quoted for a transaction that is to be made on the spot, that is, paid for now for delivery now. Contrast spot markets with FORWARD CONTRACTS and futures markets, where payment and/or delivery will be made at some future date. Also contrast with long-term contracts, in which a price is agreed for repeated transactions over an extended time period and which may not involve immediate payment in full.",economist,1,56.29,11.2,12.5,10.62,13.3,8.18,14.3333333333333,13.32
Deregulation,"Deregulation is the reduction or elimination of government power in a particular industry, usually enacted to create more competition within the industry. Over the years, the struggle between proponents of regulation and proponents of no government intervention has shifted market conditions. Finance has historically been one of the most heavily scrutinized industries in the United States.",investopedia,1,18.65,15.3,17.9,17.0,16.2,10.77,16.0,18.91
disposition effect,The tendency of investors to hold on to losing investments.,zvi,0,61.33,7.2,0.0,9.66,7.1,10.45,6.0,12.0
Straddle,A long position in a call and a put with the same strike price.,opod,0,99.57,2.9,0.0,2.43,2.4,6.59,7.0,8.46
NCD,See NEGOTIABLE CERTIFICATE OF DEPOSIT.,palgrave,0,32.56,10.0,0.0,16.56,13.1,10.2,3.5,18.0
PROFITEER,"An individual or company that charges exorbitant prices for goods and services that are in short SUPPLY during a time of crisis (natural disaster, war).",palgrave,0,37.64,14.2,0.0,11.78,15.2,10.56,17.5,16.4
Ad Valorem Tax,"An ad valorem tax is a tax based on the assessed value of an item, such as real estate or personal property. The most common ad valorem taxes are property taxes levied on real estate. However, ad valorem taxes may also extend to a number of tax applications, such as import duty taxes on goods from abroad.",investopedia,1,60.65,9.5,10.5,7.54,8.7,8.73,11.1666666666667,9.71
Both-to-Blame Collision Clause,"A both-to-blame collision clause is part of the ocean marine insurance policy that states that if a ship (vessel) collides with another ship due to the negligence of both, owners and shippers of both vessels must share in the losses in proportion with the monetary values of their cargo and interests before the collision. The owners of the cargo and company responsible for shipment are both required to pay for losses.",investopedia,1,43.9,16.0,0.0,11.44,19.6,9.62,23.75,18.71
Animal Spirits,"Animal spirits is a term coined by the famous British economist, John Maynard Keynes, to describe how people arrive at financial decisions, including buying and selling securities, in times of economic stress or uncertainty. In Keynes’s 1936 publication, The General Theory of Employment, Interest, and Money, he speaks of animal spirits as the human emotions that affect consumer confidence.",investopedia,1,24.61,17.2,0.0,15.39,20.1,13.13,22.25,19.94
Bank Reserve,Bank reserves are the cash minimums that financial institutions must have on hand in order to meet central bank requirements. This is real paper money that must be kept by the bank in a vault on-site or held in its account at the central bank. Cash reserves requirements are intended to ensure that every bank can meet any large and unexpected demand for withdrawals.,investopedia,1,58.32,10.4,11.9,9.92,11.6,7.9,13.0,12.27
CITY,"Short for City of London, a reference to London’s financial district.",palgrave,0,60.31,7.6,0.0,11.58,9.3,11.36,6.5,11.67
Government spending,"Spending by all levels of government on goods and services. This includes, for example, spending on the military, schools, and highways. Government spending is a component of gross domestic product and does not include transfer payments.",6_8_louis,1,59.3,8.0,11.2,13.27,11.0,10.81,7.0,9.24
"opportunity cost of capital (hurdle rate, cost of capital)",expected return that is foregone by investing in a project rather than in comparable financial securities.,prin,0,29.86,13.1,0.0,15.08,13.4,11.34,13.0,18.9
Capital Budgeting,Capital budgeting is the process a business undertakes to evaluate potential major projects or investments. Construction of a new plant or a big investment in an outside venture are examples of projects that would require capital budgeting before they are approved or rejected.,investopedia,1,41.19,12.9,0.0,14.16,15.1,9.84,16.75,16.97
EUROCLEAR,"A European organization established in 1968 and responsible for SETTLEMENT and CLEARING of EUROBONDS, EQUITIES, and INVESTMENT FUNDS. See also CLEARSTREAM.",palgrave,0,26.98,12.1,0.0,17.43,14.1,12.43,7.75,15.63
Direct Stock Purchase Plan (DSPP),"A direct stock purchase plan (DSPP) is a program that enables individual investors to purchase a company's stock directly from that company without the intervention of a broker. Some companies that offer DSPPs make the plans directly available to retail investors, while others use transfer agents or other third-party administrators to handle these transactions. Such plans offer low fees and sometimes the ability to purchase shares at a discount.",investopedia,1,39.67,13.4,14.1,14.45,16.2,10.27,15.1666666666667,13.84
Coase Theorem,"The Coase Theorem is a legal and economic theory developed by economist Ronald Coase regarding property rights, which states that where there are complete competitive markets with no transaction costs and an efficient set of inputs and outputs, an optimal decision will be selected.",investopedia,1,18.36,21.6,0.0,14.7,26.1,13.71,35.0,29.42
Payback Period,"The payback period refers to the amount of time it takes to recover the cost of an investment. Simply put, the payback period is the length of time an investment reaches a break-even point.",investopedia,1,71.14,7.6,0.0,8.35,8.7,8.19,11.0,10.33
NONREFUNDABLE DEBT,"A BOND or NOTE that cannot be redeemed and replaced by alternative DEBT. In some instances the INDENTURE of a non- refundable bond will allow limited refunding, but only if INTEREST RATES decline to a particular level. See also CALL PROTECTION, NONCALLABLE BOND.",palgrave,0,48.5,10.0,12.5,11.01,9.9,10.59,8.83333333333333,13.16
DIGITAL OPTION,See BINARY OPTION.,palgrave,0,34.59,9.2,0.0,3.43,5.2,14.31,1.5,14.53
Geographical Pricing,"Geographical pricing is the practice of adjusting an item's sale price based on the location of the buyer. Sometimes the difference in the sale price is based on the cost to ship the item to that location. But the difference may also be based on what amount the people in that location are willing to pay. Companies will try to maximize revenue in the markets in which they operate, and geographical pricing contributes to that goal.",investopedia,1,60.65,9.5,13.0,9.57,10.3,7.7,12.5,11.28
Price elasticity of supply,is the percentage change in quantity supplied due to a one per cent change in the market price of the good.,ncert_class12_econ,1,75.54,7.9,0.0,6.5,8.6,7.69,12.5,12.21
interest coverage ratio,Measure of financial leverage. Earnings before interest and taxes as a multiple of interest expense.,zvi,0,38.48,9.8,0.0,12.83,9.3,11.38,4.75,11.0
ALLIGATOR SPREAD,"An OPTION SPREAD that is unprofitable even in favorable market conditions, as a result of large BROKER COMMISSIONS or fees. An alligator spread often comprises of many discrete transactions, which generate excessive costs and detract from any profits.",palgrave,0,43.73,11.9,0.0,14.79,14.6,11.23,14.0,16.02
ARBITRATOR,A professional and independent party appointed to conduct ARBITRATION between two disputing parties.,palgrave,0,-0.95,16.6,0.0,20.63,17.0,12.78,11.5,20.58
Bilateral Trade Agreements,Bilateral Trade Agreements,ncert_keec111,1,9.21,12.7,0.0,20.83,17.8,14.31,1.5,14.53
Rival Good,"A rival good is a type of product or service that can only be possessed or consumed by a single user. When a good is rival in consumption, it may be subject to strong demand and fierce competition—factors that tend to drive up prices.",investopedia,1,66.07,9.5,0.0,7.49,10.0,9.39,12.0,10.62
Tax Wedge,A tax wedge is the difference between before-tax and after-tax wages. The tax wedge measures how much the government ostensibly receives as a result of taxing the labor force.,investopedia,1,56.76,8.9,0.0,10.72,9.7,9.26,8.75,7.18
INTERPOLATION,"A mathematical method for computing missing or unob- served INTEREST RATES along the YIELD CURVE. A point can be interpolated using LINEAR , EXPONENTIAL , or CUBIC SPLINE . Also known as YIELD CURVE .",palgrave,0,44.1,9.7,10.5,11.17,8.9,11.79,6.5,10.57
Mortgage Broker,"A mortgage broker is an intermediary who brings mortgage borrowers and mortgage lenders together, but who does not use their own funds to originate mortgages. A mortgage broker helps borrowers connect with lenders and seeks out the best fit in terms of the borrower's financial situation and interest-rate needs. The mortgage broker also gathers paperwork from the borrower and passes that paperwork along to a mortgage lender for underwriting and approval purposes. The broker earns a commission from either the borrower, the lender, or both at closing.",investopedia,1,49.35,11.8,14.6,13.34,14.8,9.8,14.875,14.24
Cost of Living,"The cost of living is the amount of money needed to cover basic expenses such as housing, food, taxes, and healthcare in a certain place and time period. The cost of living is often used to compare how expensive it is to live in one city versus another. The cost of living is tied to wages. If expenses are higher in a city, such as New York, for example, salary levels must be higher so that people can afford to live in that city.",investopedia,1,67.08,9.1,10.1,6.15,8.6,7.87,12.0,10.3
T Distribution,"The T distribution, also known as the Student’s t-distribution, is a type of probability distribution that is similar to the normal distribution with its bell shape but has heavier tails. T distributions have a greater chance for extreme values than normal distributions, hence the fatter tails.",investopedia,1,39.67,13.4,0.0,13.76,15.6,9.93,16.0,13.55
clearinghouse,"Established by exchanges to facilitate transfer of securities resulting from trades. For options and futures contracts, the  may interpose itself as a middleman between two traders.",zvi,0,41.36,10.7,0.0,15.76,13.1,12.18,8.5,14.43
Natural monopoly,"A firm or industry whose average cost per unit of  production falls sharply over the entire range of its output, as, e.g., in local electricity distribution.",sam,1,45.09,13.4,0.0,10.91,15.3,14.04,18.0,16.55
Escrow,"Escrow is a legal concept describing a financial instrument whereby an asset or escrow money is held by a third party on behalf of two other parties that are in the process of completing a transaction. Escrow accounts might include escrow fees managed by agents who hold the funds or assets until receiving appropriate instructions or until the fulfillment of predetermined contractual obligations. Money, securities, funds, and other assets can all be held in escrow. It is often suggested as a replacement for a certified or cashier's check.",investopedia,1,40.69,13.1,14.6,12.24,14.0,10.47,15.0,16.07
Revenue Bond,"A revenue bond is a category of municipal bond supported by the revenue from a specific project, such as a toll bridge, highway, or local stadium. Revenue bonds that finance income-producing projects are thus secured by a specified revenue source. Typically, revenue bonds can be issued by any government agency or fund that is managed in the manner of a business, such as entities having both operating revenues and expenses.",investopedia,1,39.37,13.6,14.6,11.84,14.3,11.11,15.6666666666667,15.61
GRANTOR TRUST,"In the United States, a TRUST in which the income gener- ated by INVESTMENT activities is taxed at the level of the individual rather than the trust itself.",palgrave,0,51.52,13.0,0.0,9.12,14.3,8.41,17.0,15.49
PREFERENCE PERIOD,A 90-day period preceding a company’s BANKRUPTCY filing. See also PREFERENCE.,palgrave,0,15.13,12.5,0.0,12.63,10.0,13.96,4.25,20.38
Home Equity Conversion Mortgage (HECM),A home equity conversion mortgage (HECM) is a type of reverse mortgage that is insured by the Federal Housing Administration (FHA) Home equity conversion mortgages allow seniors to convert the equity in their home into cash.,investopedia,1,26.48,18.5,0.0,12.95,21.3,11.56,25.0,18.84
SPRING LOADING,A form of financial manipulation where the pre- ACQUISITION EARNINGS of a company to be purchased are understated in order to give the acquiring company an earnings boost and the appearance of financial strength following the acquisition.,palgrave,0,17.0,20.1,0.0,14.69,22.8,10.17,29.5,21.29
ARBITRATION CLAUSE,A clause in an INSURANCE contract stating that the INSURED and INSURER agree to ARBITRATION in the event of disagree- ment on a CLAIM. Similar disclosure is common in INVESTMENT account agreements.,palgrave,0,55.24,9.5,0.0,11.95,11.0,12.33,11.0,13.9
Front-End Debt-to-Income Ratio (DTI),"The front-end debt-to-income ratio (DTI) is a variation of the DTI that calculates how much of a person's gross income is going toward housing costs. If a homeowner has a mortgage, the front-end DTI is typically calculated as housing expenses (such as mortgage payments, mortgage insurance, etc.) divided by gross income. In contrast, a back-end DTI calculates the percentage of gross income going toward other debt types, such as credit cards or car loans. You may also hear these ratios referred to as ""Housing 1"" and ""Housing 2,"" or ""Basic"" and ""Broad,"" respectively.",investopedia,1,47.83,12.4,13.0,11.15,14.5,9.89,14.625,13.62
SECONDARY RESERVES,"RESERVES in excess of those that FINANCIAL INSTITUTIONS are required to hold for regulatory reasons. Secondary reserves are often used as an emergency buffer to meet unexpected obligations; accord- ingly, they are generally held in the form of very LIQUID, low-RISK SECUR- ITIES that can be converted into cash very quickly.",palgrave,0,37.13,14.4,0.0,13.29,16.6,11.09,17.25,17.26
Gratuity,Gratuity,ncert_keec111,1,-47.99,20.2,0.0,1.0,16.8,19.48,0.5,40.4
Optimized Portfolio As Listed Securities (OPALS),Optimized portfolio as listed securities is a single-country equity index that contains fewer holdings than the benchmarked index. Optimized portfolio as listed securities was created by Morgan Stanley in 1994. It is seen as a predecessor to the popularity of exchange-traded funds.,investopedia,1,23.43,13.5,14.6,14.72,12.6,11.1,11.0,12.27
RANGE FORWARD,See ZERO COST COLLAR.,palgrave,0,75.88,3.7,0.0,1.45,1.8,7.78,1.0,1.6
Retail,The resale of new and used goods to general consumers.,6_8_louis,1,78.25,4.8,0.0,6.76,4.8,7.29,5.0,4.0
Unskilled Labor,"Unskilled labor is used to refer to a segment of the workforce associated with a limited skill set or minimal economic value for the work performed. Unskilled labor is generally characterized by a lower educational attainment, such as a high school diploma, GED or lack thereof, and typically results in smaller wages. Work that requires no specific education level or specialized experience is often available to the unskilled labor force.",investopedia,1,30.91,14.7,15.0,13.23,15.2,11.78,16.0,16.75
Marginal benefits,The additional satisfaction a consumer receives by consuming an additional unit of a good or service.,6_8_louis,1,29.86,13.1,0.0,13.22,11.9,10.35,12.0,13.9
junk bond (high-yield bond),debt that is rated below an investment-grade bond.,prin,0,63.36,6.4,0.0,10.11,7.9,11.93,4.0,8.2
framing,"Decisions are affected by how choices are described, for example, whether uncertainty is posed as Final PDF to printerˆ 6 potential gains from a low baseline level, or as losses from a higher baseline value.",zvi,0,35.95,16.9,0.0,11.33,19.3,13.04,22.5,19.71
Portfolio Insurance,Entering into trades to ensure that the value of a portfolio will not fall below a certain level.,opod,0,53.21,10.3,0.0,7.89,8.5,8.04,11.0,11.64
USD,"The USD is the abbreviation for the U.S. Dollar, the official currency of United States of America and the world's primary reserve currency.",investopedia,1,51.34,9.0,0.0,10.01,8.5,10.39,7.75,11.56
capital lease,financial lease.,prin,0,35.61,8.8,0.0,10.0,14.9,19.53,1.0,20.8
DIVIDEND WAIVER,"A process where a significant INVESTOR in a company opts not to accept a DIVIDEND payment, allowing the company to retain the cash in its accounts.",palgrave,0,45.09,13.4,0.0,9.81,13.7,9.78,18.0,15.02
ADVANCE OPTION,A short-term LINE OF CREDIT granted by an UNDERWRITER to an ISSUER of SECURITIES that can be drawn if the under- writer cannot successfully place the securities. The advance option thus guar- antees the issuer access to short-term funds regardless of the relative success of the NEW ISSUE.,palgrave,0,47.12,12.7,0.0,11.55,14.3,11.08,15.0,13.77
Consumer goods,Goods and services that are used for current consumption.,6_8_louis,1,79.26,4.4,0.0,11.86,8.7,9.35,4.5,8.04
Undue Influence,"Undue influence occurs when an individual is able to persuade another's decisions due to the relationship between the two parties. Often, one of the parties is in a position of power over the other due to elevated status, higher education, or emotional ties. The more powerful individual uses this advantage to coerce the other individual into making decisions that might not be in their long-term best interest.",investopedia,1,31.92,14.3,15.9,12.25,14.0,9.46,16.1666666666667,15.49
North American Securities Administrators Association (NASAA),"The North American Securities Administrators Association (NASAA) is an organization of securities regulators whose aim is to protect investors from fraud. Founded in 1919 in the U.S. state of Kansas, its membership of over 60 securities administrators from across North America works to protect customers of investment advice or securities as part of a complementary regulatory system that works at the federal, state/provincial, and industry levels.﻿﻿",investopedia,1,12.6,19.7,0.0,16.43,22.7,11.49,25.5,20.47
Dirty Price of Bond,Cash price of bond.,opod,0,118.18,-2.3,0.0,-1.46,-0.7,7.78,1.0,1.6
IMPACT DAY,The first day of official (rather than GRAY MARKET) TRADING in a NEW ISSUE of SECURITIES.See GDP DEFLATOR.See IMPLIED REPO RATE.,palgrave,0,50.16,11.5,0.0,11.14,13.3,10.69,13.5,14.11
CUSTOMS UNION,A confederation of two or more countries that agree to eliminate DUTIES on IMPORTS and EXPORTS on goods and services within the confederation.,palgrave,0,39.67,13.4,0.0,13.0,14.7,10.27,14.5,12.68
Takeover,"A takeover occurs when one company makes a successful bid to assume control of or acquire another. Takeovers can be done by purchasing a majority stake in the target firm. Takeovers are also commonly done through the merger and acquisition process. In a takeover, the company making the bid is the acquirer and the company it wishes to take control of is called the target.",investopedia,1,63.39,8.5,12.2,9.57,9.1,9.3,10.625,10.21
EXPECTED UTILITY,The weighted average utility value – or satisfaction from income or wealth – that is derived from a particular activity. Utility is generally used in an economic or theoretical RISK MANAGEMENT framework;precise measurement of a company’s utility is not generally considered feasible or practical.,palgrave,0,6.84,17.8,0.0,15.66,16.7,11.55,20.0,21.53
Market price,The price at which buyers and sellers trade a good or service in the marketplace where the quantity demanded equals the quantity supplied. Also known as the market clearing price or the equilibrium price.,6_8_louis,1,62.68,8.7,0.0,11.25,10.8,8.66,11.0,11.51
FED WIRE,"An electronic network connecting the FEDERAL RESERVE BOARD, the 12 FEDERAL RESERVE BANKS, the US Treasury and US agencies, which is used for immediate payments, FEDERAL FUNDS transfers, and TREASURY NOTE, TREASURY BOND, and AGENCY SECURITY transfers.",palgrave,0,25.46,18.9,0.0,15.62,24.3,12.3,25.5,20.21
AVAILABILITY,The time at which point funds placed by a depositor in a BANK become usable. Availability can range from immediate (for WIRE TRANSFERS) to several days (for CHECKS written on banks in different locales). See also FINALITY.,palgrave,0,58.99,8.1,11.2,9.9,8.4,9.79,7.16666666666667,9.24
Business Economics,"Business economics is a field of applied economics that studies the financial, organizational, market-related, and environmental issues faced by corporations.",investopedia,1,0.42,18.2,0.0,22.74,22.2,12.52,17.0,20.0
Economic Exposure,"Economic exposure is a type of foreign exchange exposure caused by the effect of unexpected currency fluctuations on a company’s future cash flows, foreign investments, and earnings. Economic exposure, also known as operating exposure, can have a substantial impact on a company’s market value since it has far-reaching effects and is long-term in nature. Companies can hedge against unexpected currency fluctuations by investing in foreign exchange (FX) trading.",investopedia,1,23.05,15.7,17.9,15.84,17.3,10.57,18.0,15.55
REINSURER,An INSURER that provides REINSURANCE coverage to other insurers through FACULTATIVE REINSURANCE or TREATY REINSURANCE agreements.,palgrave,0,12.94,15.4,0.0,23.37,20.2,12.33,15.0,18.9
tax swap,Swapping two similar bonds to capture a tax benefit.,zvi,0,53.88,8.0,0.0,8.67,6.1,12.86,5.5,12.49
annuity,investment that produces a level stream of cash flows for a limited number of periods.,prin,0,56.25,9.1,0.0,9.56,8.7,9.64,10.5,14.0
Managerial Accounting,"Managerial accounting is the practice of identifying, measuring, analyzing, interpreting, and communicating financial information to managers for the pursuit of an organization's goals. It varies from financial accounting because the intended purpose of managerial accounting is to assist users internal to the company in making well-informed business decisions.",investopedia,1,4.82,18.6,0.0,20.14,21.5,12.06,21.0,20.43
inventory turnover ratio,Cost of goods sold as a multiple of average inventory.,zvi,0,52.87,8.4,0.0,6.76,4.8,8.87,7.0,16.0
World Economic Outlook (WEO),The World Economic Outlook (WEO) is a report by the International Monetary Fund (IMF) that analyzes key parts of the IMF's surveillance of economic developments and policies in its member countries. It also projects developments in the global financial markets and economic systems.,investopedia,1,41.19,12.9,0.0,14.97,16.3,11.68,15.75,15.11
Ex-Date,"The ex-dividend date, or ex-date for short, is one of four stages that companies go through when they pay dividends to their shareholders. The ex-dividend date is important because it determines whether the buyer of a stock will be entitled to receive its upcoming dividend.",investopedia,1,48.64,12.1,0.0,11.78,13.9,8.61,16.25,15.22
BULLET,See  LOAN.,palgrave,0,77.91,2.9,0.0,-10.31,-1.7,0.1,0.0,0.8
Knowledge Capital,"Knowledge capital is the intangible value of an organization made up of its knowledge, relationships, learned techniques, procedures, and innovations. In other words, knowledge capital is the full body of knowledge an organization possesses.",investopedia,1,28.84,13.5,0.0,17.57,16.6,8.66,13.0,13.86
BANKING DIRECTIVE,"In the EUROPEAN UNION, a series of require- ments to which BANKS must adhere, including those related to CAPITAL ADEQUACY and solvency, MONEY LAUNDERING, CONCENTRATION RISKS, and cross-border licensing and marketing/distribution of INVESTMENTS. See also BASLE ACCORD, BASLE II, MARKETS IN FINANCIAL INSTRUMENTS DIRECTIVE.",palgrave,0,15.31,16.6,0.0,17.81,19.3,14.06,18.5,21.53
INCOME FUND,A MUTUAL FUND or UNIT INVESTMENT TRUST that invests CAPITAL primarily or exclusively in INCOME STOCKS.,palgrave,0,29.86,13.1,0.0,13.63,12.2,12.33,13.0,16.4
EMV chip specifications,"Specifications developed by Europay, MasterCard, and Visa defining requirements for using chip cards worldwide.",9_12_louis,1,14.97,14.7,0.0,21.51,18.5,15.61,12.0,19.89
Incremental Analysis,"Incremental analysis is a decision-making technique used in business to determine the true cost difference between alternatives. Also called the relevant cost approach, marginal analysis, or differential analysis, incremental analysis disregards any sunk cost or past cost. Incremental analysis is useful for business strategy including the decision to self-produce or outsource a function.",investopedia,1,11.21,16.1,17.9,18.56,17.5,9.58,15.5,15.38
Allowance for Bad Debt,"An allowance for bad debt is a valuation account used to estimate the amount of a firm's receivables that may ultimately be uncollectible. It is also known as an allowance for doubtful accounts. When a borrower defaults on a loan, the allowance for bad debt account and the loan receivable balance are both reduced for the book value of the loan.",investopedia,1,59.33,10.0,11.9,9.46,10.8,8.53,12.5,12.71
Spread Betting,"Spread betting refers to speculating on the direction of a financial market without actually owning the underlying security. It involves placing a bet on the price movement of a security. A spread betting company quotes two prices, the bid and ask price (also called the spread), and investors bet whether the price of the underlying security will be lower than the bid or higher than the ask.",investopedia,1,48.84,12.0,13.6,10.74,12.7,8.98,14.5,11.91
Disposition,"A disposition is the act of selling or otherwise ""disposing"" of an asset or security. The most common form of a disposition would be selling a stock investment on the open market, such as a stock exchange.",investopedia,1,52.7,10.5,0.0,8.41,9.3,7.54,12.25,11.72
ZERO COUPON BOND,"A deep-DISCOUNT BOND that is sold and traded at a DISCOUNT to PAR VALUE and pays no periodic COUPON interest during the life of the issue. The difference between the discounted value and the parREDEMPTION VALUE generates an implicit RETURN to the INVESTOR. The price of a coupon bond is typically computed as:P = M (1 + r )nwhere r is the DISCOUNT RATE, n is the number of periods, and M is the redemption value of the bond at MATURITY (generally par value).",palgrave,0,43.77,13.9,15.0,8.59,13.8,10.19,18.3333333333333,16.29
risk,The degree of uncertainty associated with the return on an asset.,fmi,0,34.93,11.1,0.0,10.01,7.6,9.92,6.5,11.67
Earnings Credit Rate (ECR),The earnings credit rate (ECR) is a daily calculation of interest that a bank pays on customer deposits. The earnings credit rate is often correlated with the U.S. Treasury bill (T-bill) rate.,investopedia,1,69.07,6.3,8.8,9.26,7.7,10.09,5.33333333333333,8.03
On-the-Run Treasury Yield Curve,The on-the-run Treasury yield curve graphically shows the current yields versus maturities of the most recently sold U.S. Treasury securities and is the primary benchmark used in pricing fixed-income securities.,investopedia,1,39.33,11.5,0.0,16.17,14.7,12.8,11.0,12.67
Supply,"Supply is a fundamental economic concept that describes the total amount of a specific good or service that is available to consumers. Supply can relate to the amount available at a specific price or the amount available across a range of prices if displayed on a graph. This relates closely to the demand for a good or service at a specific price; all else being equal, the supply provided by producers will rise if the price rises because all firms look to maximize profits.",investopedia,1,51.52,13.0,12.5,9.87,14.7,9.35,16.6666666666667,14.06
HIGH-LOW OPTION,"An OVER-THE-COUNTER COMPLEX OPTION that grants the buyer a payoff based on the difference between the high and low prices achieved by the UNDERLYING during the life of the transaction. See also CALL ON THE MAXIMUM, PUT ON THE MINIMUM.",palgrave,0,59.64,9.9,0.0,10.27,11.6,9.37,13.0,12.0
Appropriation Account,"Appropriation is the act of setting aside money for a specific purpose. In accounting, it refers to a breakdown of how a firm’s profits are divided up, or for the government, an account that shows the funds a government department has been credited with. A company or a government appropriates funds in order to delegate cash for the necessities of its business operations.",investopedia,1,41.7,12.7,15.5,10.79,12.3,8.94,15.1666666666667,14.75
Supply curve,A graph of the relationship between the PRICE of a good and the amount supplied at different prices. (See also DEMAND CURVE.),economist,1,66.07,9.5,0.0,9.11,11.8,8.32,13.0,10.62
Open-End Management Company,An open-end management company is a type of investment company responsible for the management of open-end funds. Open-end management companies manage both open-end mutual funds and exchange-traded funds (ETFs).,investopedia,1,31.38,12.5,0.0,16.75,15.4,9.8,12.25,12.7
Certified Management Accountant (CMA),Certified management accountant (CMA) is an accounting designation that signifies expertise in financial accounting and strategic management. The professionals who obtain this designation are colloquially known as CMAs and are qualified for a variety of roles ranging from financial controller to chief financial officer (CFO).,investopedia,1,14.8,16.8,0.0,18.74,19.4,11.77,20.25,19.67
"Hayek, Friedrich","An influential economist of the Austrian school, who won the NOBEL PRIZE FOR ECONOMICS in 1974 for his theory of the BUSINESS CYCLE many years after this body of work seemed to have been disproved by KEYNES. Born in 1899, Hayek attended his home-town University of Vienna after the first world war. He was attracted to SOCIALISM until he read a pioneering Austrian economist, Ludwig von Mises, on the subject, after which, he said, 'the world was never the same again'.",economist,1,52.53,12.6,15.0,9.93,14.7,9.85,17.8333333333333,16.23
Hong Kong Monetary Authority Investment Portfolio (HKMA),The Hong Kong Monetary Authority Investment Portfolio is an investment portfolio run by the Hong Kong Monetary Authority. The authority is the sovereign wealth fund of the government of the Hong Kong Special Administrative Region.,investopedia,1,28.33,13.7,0.0,14.56,13.7,9.47,14.75,13.86
Vacation Home,"A vacation home is a secondary dwelling, other than the owner's principal residence, and is used primarily for recreational purposes including vacations or holidays. Also known as a recreational or secondary property or residence, a vacation home is often situated in a different location from the owner's primary residence. Because vacation homes are only used at certain times of year, many owners rent out these dwellings when they are not using them.",investopedia,1,38.66,13.8,17.5,13.12,15.6,9.43,18.3333333333333,16.82
Non-Accelerating Inflation Rate of Unemployment,"The non-accelerating inflation rate of unemployment (NAIRU) is the specific level of unemployment that is evident in an economy that does not cause inflation to increase. In other words, if unemployment is at the NAIRU level, inflation is constant. NAIRU often represents the equilibrium between the state of the economy and the labor market.﻿﻿ ﻿﻿",investopedia,1,44.44,11.6,15.0,12.76,12.8,8.56,13.5,13.14
Stochastic RSI (StochRSI),The Stochastic RSI (StochRSI) is an indicator used in technical analysis that ranges between zero and one (or zero and 100 on some charting platforms) and is created by applying the Stochastic oscillator formula to a set of relative strength index (RSI) values rather than to standard price data. Using RSI values within the Stochastic formula gives traders an idea of whether the current RSI value is overbought or oversold.,investopedia,1,35.95,16.9,0.0,12.14,20.0,11.91,23.5,19.14
Listing Agreement,"A listing agreement is a contract under which a property owner (as principal) authorizes a real estate broker (as agent) to find a buyer for the property on the owner's terms, for which service the owner pays a commission set forth in the agreement.",investopedia,1,35.28,19.3,0.0,9.82,22.6,10.84,27.0,21.24
TWO-WAY MARKET,See TWO-WAY PRICES.,palgrave,0,119.19,-2.7,0.0,3.43,6.8,9.05,0.5,1.2
Credit,"@1@ In monetary theory, the use of someone else’s funds in exchange for a promise to pay @usually with interest@ at a later date. The major examples are short-term loans from a bank, credit extended by suppliers, and commercial paper. @2@ In balance-of-payments accounting, an item such as exports that earns a coun-try foreign currency.     ",sam,1,35.1,15.2,0.0,11.09,16.6,11.89,19.25,18.27
FUNDING,The general process of raising DEBT to finance operations.,palgrave,0,45.42,9.2,0.0,12.5,9.3,12.86,5.5,8.04
National Association of Certified Valuation Analysts (NACVA),"The National Association Of Certified Valuation Analysts (NACVA) is a group of business professionals that provide valuation and litigation services for various types of business transactions. National Association of Certified Valuation Analysts members receive training, education, and certification in asset valuation disciplines that they put to use in their respective professions. The organization also enforces standards of ethical conduct among its members.",investopedia,1,-0.31,18.4,18.9,19.78,19.5,11.28,18.0,18.6
